"LAND.UNIT","LAND.UNIT.ru","POPULATION","AREA.km2","POPULATION.STATUS","SRC"
"Sweden","Швеция",10402070,450295,"February 2021 estimate","https://en.wikipedia.org/wiki/Sweden"
"Finland","Финляндия",5536146,338455,"December 2020 estimate","https://en.wikipedia.org/wiki/Finland"
"Estonia","Эстония",1330068,45227,"2021 estimate","https://en.wikipedia.org/wiki/Estonia"
"Latvia","Латвия",1907675,64589,"2020 estimate","https://en.wikipedia.org/wiki/Latvia"
"Lithuania","Литва",2784279,65300,"2021 estimate","https://en.wikipedia.org/wiki/Lithuania"
"Russia","Россия",146171015,17098246,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F"
"St. Petersburg","Санкт-Петербург",5384342,1439,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3"
"Leningrad reg.","Ленинградская область",1892711,83908,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C"
"Karelia","Карелия",609071,180520,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D0%B8%D1%8F"
"Vologda","Вологодская область",1151042,144527,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BE%D0%B3%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C"
"Novgorod","Новгородская область",592415,54501,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C"
"Pskov","Псковская область",620249,55399,"https://web.archive.org/web/20210319185917/https://rosstat.gov.ru/storage/mediabank/wJkrbrPg/Popul2021_Site.xls","https://ru.wikipedia.org/wiki/%D0%9F%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C"
